Moto G5 Plus;32/64 GB;Lunar Grey, Fine Gold;2/4 GB RAM; 32 GB;5.2
W396;64 MB RAM;lustrous silver, dark titanium gray;ram;1.8
W231;64 MB RAM;Red;ram;1.6
EM30;microSD;Black;up to 8 GB (dedicated slot);2.0
EM28;20 dialed;Blue;20 received;1.8
EM25;20 dialed;Black;20 received;1.8
PEBL VU20;10 dialed;Purple, Rose Bloom, Navy Blue;10 received;2.2
MOTOACTV W450;40 dialed;Mandarin Orange, Canary Yellow;40 received;
VE75;20 dialed;Black, Gray;20 received;2.6
ZN5;20 dialed;Grey;ram;2.4
A1210;20 dialed;Golden white, Xuan Yue Powder, Deep Brown;ram;2.8
A1600;20 dialed;Black;ram;2.4
A1890;20 dialed;Black;ram;2.4
A1800;microSD;Black;up to 4 GB (dedicated slot);2.4
A810;30 dialed;Excellent Black and White Shang-chi;30 received;2.2
W388;30 dialed;Black;ram;1.8
Z9;20 dialed;Burgundy Red;20 received;2.4
Z6w;20 dialed;Black;ram;2.0
Z6c;20 dialed;Black;ram;2.0
W181;20 dialed;;ram;1.6
W177;20 dialed;;ram;1.6
W161;20 dialed;;ram;
W270;20 dialed;lustrous silver, dark titanium gray;ram;1.6
W230;20 dialed;lustrous silver, dark titanium gray;ram;1.6
RIZR Z10;70 MB;Black, Chrome;64 MB RAM;2.2
ROKR E8;70 MB;Dark Navy, Platinum;ram;2.0
W377;70 MB;Cannon Gray, Lustrous Silver, Mandarin Orange;ram;1.8
W213;70 MB;Black;ram;1.55
W180;70 MB;Black;ram;1.7
W160;70 MB;Black;ram;
U9;70 MB;Pink, Purple;ram;2.0
V1100;70 MB;Black;ram;
PEBL U3;70 MB;;ram;1.9
RAZR2 V9;70 MB;;ram;2.2
RAZR2 V8;70 MB;Dark Pearl Gray;ram;2.2
ROKR W5;70 MB;Dark Pearl Gray;ram;1.9
W490;70 MB;Black, Purple, Green;ram;1.9
W395;70 MB;;ram;
W380;70 MB;;ram;
W360;70 MB;;ram;1.6
W218;70 MB;;ram;1.6
RIZR Z8;70 MB;Black;ram;2.2
KRZR K3;70 MB;Dark Pearl Gray, Stone Gray;ram;2.0
SLVR L9;70 MB;;ram;1.9
Q 9h;96 MB RAM;Silver, Black;256 MB ROM;2.4
Q8;96 MB RAM;Silver, Black;ram;2.4
W510;96 MB RAM;Dark Pearl Gray;ram;1.9
W215;96 MB RAM;;ram;
W205;96 MB RAM;;ram;
ROKR Z6;96 MB RAM;Black;ram;2.1
ROKR E6;96 MB RAM;Black;ram;2.4
SLVR L7e;96 MB RAM;Blue;ram;1.9
RAZR maxx V6;96 MB RAM;Black;ram;2.2
RAZR V3xx;96 MB RAM;Black;ram;2.2
RIZR Z3;96 MB RAM;Red, Blue, Black;ram;1.9
KRZR K1;96 MB RAM;Cosmic Blue, Silver Sail;ram;1.9
W375;96 MB RAM;Cannon Gray, Lustrous Silver, Mandarin Orange.;ram;1.8
W209;96 MB RAM;Red, Silver;ram;1.6
W208;10 dialed;Red, Silver;10 received;1.6
MOTOFONE F3;20 dialed;Black, Blue, Red;received;2.2
W220;20 dialed;;ram;1.6
V195;20 dialed;;ram;
V191;20 dialed;Silver, Blue;ram;
ROKR E2;20 dialed;Silver, Black;ram;2.0
RAZR V3i;20 dialed;Silver Quartz;ram;2.2
ROKR E1;20 dialed;Pearl Star White;ram;1.9
A910;20 dialed;;ram;
A1200;20 dialed;Black, Red, Silver;ram;2.4
A728;20 dialed;Mr. black;ram;
A732;20 dialed;Silver, Black;ram;1.8
E895;20 dialed;;ram;2.2
V3x;20 dialed;;ram;2.2
E1070;10 dialed;Black, Silver;10 received;2.0
E770;10 dialed;White, Grape;ram;1.9
SLVR L7;10 dialed;Black, Silver, Pink;ram;1.9
PEBL U6;10 dialed;;ram;1.8
A1010;10 dialed;;ram;2.9
E1060;10 dialed;;ram;
E1120;10 dialed;;ram;2.1
V1050;10 dialed;Black;ram;2.2
C261;10 dialed;Black;ram;
C257;10 dialed;Black;ram;
C168;10 dialed;;ram;
C139;10 dialed;Black, Silver;10 received;
C123;10 dialed;Silver;10 received;
C118;10 dialed;;10 received;
C117;10 dialed;Shadow Anthracite, Cosmic Universe Blue;10 received;
C113a;10 dialed;Black;10 received;
C113;10 dialed;Black;10 received;
C390;10 dialed;Dark Blue Green Soft Feel, Dark Roast Black;ram;
E680i;10 dialed;;ram;2.5
V560;10 dialed;;ram;
V557;10 dialed;Silver;ram;
V361;10 dialed;Black;ram;1.9
V360;10 dialed;Silver;ram;1.9
L6;10 dialed;Silver;ram;2.0
L2;10 dialed;Diamond Dust;ram;1.8
V235;10 dialed;Silver;ram;
V230;10 dialed;Black;ram;
V186;10 dialed;;ram;
V176;10 dialed;;ram;
E378i;10 dialed;Black;ram;
V635;10 dialed;Crystal Silver, Black;ram;1.9
A668;10 dialed;Silver, Black;10 received;
V980;10 dialed;Black;ram;1.9
C980;10 dialed;;ram;1.9
V535;10 dialed;Matte Black;ram;
V547;10 dialed;Grey-Black Silver;ram;
E375;10 dialed;Retro red, Fog blue;ram;
RAZR V3;10 dialed;Silver, Black (Special Edition);ram;2.2
A780;10 dialed;;ram;2.5
Droid XTreme;8 GB;Black;512 MB RAM;4.1
Droid Bionic Targa;microSD;Black;up to 32 GB (dedicated slot);4.5
V975;microSD;Silver;ram;1.9
C975;microSD;;ram;1.9
V620;microSD;Black;ram;
V555;microSD;;ram;
A840;microSD;;ram;2.2
E680;microSD;Satin Silver;ram;2.5
E398;microSD;;ram;1.9
C650;microSD;2 - Midnight Blue, Cosmic Universe Blue;ram;
V226;microSD;Silver;ram;
V188;10 dialed;Silver, Black;10 received;
V171;10 dialed;Silver;10 received;
C155;10 dialed;Shadow Anthracite;10 received;
C116;10 dialed;Dark Pearl Blue;10 received;
C115;10 dialed;2 - Shadow Anthracite, Cosmic Blue;10 received;
MPx;10 dialed;;ram;2.8
MPx220;- 32 MB user accessible;Silver;25 MB free;2.0
MPx100;- 32 MB user accessible;;ram;
V872;10 dialed;;10 received;
V1000;10 dialed;Silver;10 received;2.2
E1000;10 dialed;Black;ram;2.3
A1000;10 dialed;Grey;ram;2.9
A768i;10 dialed;Mr. black;ram;
A630;10 dialed;;ram;
C380/C385;10 dialed;Cosmic Universe Blue, Shadow Anthracite;ram;
V80;10 dialed;Onyx and Platinum;ram;
C289;10 dialed;Black, White;10 received;
C205;- 30 message templates (25 fixed;Silver with colour lenses;5 personal);
V400p;- 30 message templates (25 fixed;Silver;ram;
V220;- 30 message templates (25 fixed;Silver;ram;
V180;- 30 message templates (25 fixed;Piano Black, Midnight Blue, Dark Cherry Red, and Purple;ram;
V878;20 dialed;;20 received;
A925;20 dialed;;ram;
A920;20 dialed;;ram;
V750;10 dialed;Grey;10 received;
MPx200;10 dialed;Liquorice Black;ram;2.2
V690;10 dialed;Gold, Orange;ram;
V525;10 dialed;Silver;ram;
V501;10 dialed;Silver;ram;
V500;10 dialed;Silver;ram;
V303;10 dialed;Blue;ram;
V300;10 dialed;Blue;ram;
V600;10 dialed;Silver;ram;
V150;10 dialed;Silver;ram;
E390;10 dialed;;10 received;
C550;10 dialed;Silver;ram;
C450;10 dialed;Light Blue, Dark Pearl Grey;ram;
C250;10 dialed;3 - Black, Blue, Indigo;5 received;
C230;10 dialed;;10 received;
C200;10 dialed;3 - White, Blue, Green;10 received;
A835;10 dialed;;ram;
A830;10 dialed;;ram;
A760;10 dialed;Coral grey;ram;
V295;10 dialed;Silver, Blue;10 received;
V291;10 dialed;Silver, Red;ram;
V290;20 dialed;Silver, Blue;20 received;
A388c;20 dialed;silver, black;ram;
C350;20 dialed;;ram;
T725;10 dialed;;10 received;
T720i;10 dialed;;10 received;
T720;10 dialed;;5 received;
T190;10 dialed;Silver;10 received;
E380;10 dialed;Sapphire blue;5 received;
E365;10 dialed;Siver;ram;
E360;10 dialed;2 - blue, silver;ram;
V70;10 dialed;;5 received;
C336;10 dialed;;10 received;
C333;10 dialed;;10 received;
C332;10 dialed;;10 received;
C331;10 dialed;;10 received;
C300;10 dialed;;ram;
V60i;10 dialed;;5 received;
V66i;10 dialed;3;ram;
Accompli 388;10 dialed;;ram;
V60;10 dialed;;ram;
Accompli 008;2 MB;;8 MB RAM;
Timeport 280;2 MB;;ram;
Timeport 260;2 MB;Silver;ram;
Timeport 250;2 MB;Silver;ram;
Talkabout T192;10 dialed;3 - Silver Mist, Magic Green, Graphite Grey;10 received;
Talkabout T191;10 dialed;Silver;10 received;
Accompli 009;10 dialed;2 - Radar Blue, Accompli Silver;ram;
V.box(V100);10 dialed;;ram;
V66;10 dialed;3;ram;
V50;10 dialed;3;ram;
T180;10 dialed;4 - volt blue, lavender, kingfisher and ash black;5 received;
A6188;20 dialed;3;20 received;
v8088;20 dialed;4 - Platinum, Lilac, Teal Green and Radar Blue with Chrome Styling Ring;ram;
Talkabout T2288;10 dialed;3;5 received;
V2288;10 dialed;3;5 received;
Timeport P7389;10 dialed;3;5 received;
Timeport L7089;10 dialed;3;5 received;
V3690;10 dialed;3;5 received;
V3688;10 dialed;3;5 received;
StarTAC 130;10 dialed;;5 received;
StarTAC 85;10 dialed;;5 received;
StarTAC Rainbow;10 dialed;;5 received;
StarTAC 75+;10 dialed;;5 received;
StarTAC 75;10 dialed;;5 received;
SlimLite;10 dialed;;5 received;
cd930;10 dialed;;5 received;
cd920;10 dialed;;5 received;
M3188;10 dialed;;5 received;
M3288;10 dialed;;5 received;
M3588;10 dialed;;5 received;
M3688;10 dialed;;5 received;
M3788;10 dialed;;5 received;
M3888;10 dialed;;5 received;
d520;10 dialed;3;ram;
